"region","name_format","comm_name","species","nstocks"
"Europe","Atlantic mackerel (Scomber scombrus)","Atlantic mackerel","Scomber scombrus",1
"Europe","European hake (Merluccius merluccius)","European hake","Merluccius merluccius",2
"Europe","Horse mackerel (Trachurus trachurus)","Horse mackerel","Trachurus trachurus",1
"Europe","Megrim (Lepidorhombus whiffiagonis)","Megrim","Lepidorhombus whiffiagonis",2
"Europe","Pollock (Pollachius virens)","Pollock","Pollachius virens",4
"Europe","Whiting (Merlangius merlangus)","Whiting","Merlangius merlangus",2
"Humboldt Current","Chilean jack mackerel (Trachurus murphyi)","Chilean jack mackerel","Trachurus murphyi",1
"USA/Canada East Coast","Albacore tuna (Thunnus alalunga)","Albacore tuna","Thunnus alalunga",1
"USA/Canada East Coast","Atlantic cod (Gadus morhua)","Atlantic cod","Gadus morhua",5
"USA/Canada East Coast","Bluefish (Pomatomus saltatrix)","Bluefish","Pomatomus saltatrix",1
"USA/Canada East Coast","Goosefish (Lophius americanus)","Goosefish","Lophius americanus",1
"USA/Canada East Coast","Pollock (Pollachius virens)","Pollock","Pollachius virens",1
"USA/Canada East Coast","Silver hake (Merluccius bilinearis)","Silver hake","Merluccius bilinearis",1
"USA/Canada East Coast","White hake (Urophycis tenuis)","White hake","Urophycis tenuis",2
"USA/Canada East Coast","White marlin (Kajikia albida)","White marlin","Kajikia albida",1
"USA/Canada West Coast","Albacore tuna (Thunnus alalunga)","Albacore tuna","Thunnus alalunga",1
"USA/Canada West Coast","Arrowtooth flounder (Atheresthes stomias)","Arrowtooth flounder","Atheresthes stomias",3
"USA/Canada West Coast","Black rockfish (Sebastes melanops)","Black rockfish","Sebastes melanops",2
"USA/Canada West Coast","Pacific bluefin tuna (Thunnus orientalis)","Pacific bluefin tuna","Thunnus orientalis",1
"USA/Canada West Coast","Pacific chub mackerel (Scomber japonicus)","Pacific chub mackerel","Scomber japonicus",1
"USA/Canada West Coast","Shortspine thornyhead (Sebastolobus alascanus)","Shortspine thornyhead","Sebastolobus alascanus",2
"USA/Canada West Coast","Striped marlin (Kajikia audax)","Striped marlin","Kajikia audax",1
"USA/Canada West Coast","Yellowtail rockfish (Sebastes flavidus)","Yellowtail rockfish","Sebastes flavidus",1
